"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials",56884125
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials",6345726
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials",4300223
"ENX","ENEGEX LIMITED","2013-10-08","Materials",4391816
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences",89049711
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services",134709732
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods",82193283
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials",123593647
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy",28339596
"EPN","EPSILON HEALTHCARE LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",6607788
"EPX","EP&T GLOBAL LIMITED","2021-05-12","Software & Services",10625133
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials",92777181
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials",13977931
"EQN","EQUINOX RESOURCES LIMITED.","2021-10-13","Materials",12415000
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials",71514860
"EQS","EQUITY STORY GROUP LTD","2022-05-03","Diversified Financials",4279739
"EQT","EQT HOLDINGS LIMITED","1985-08-06","Diversified Financials",656719026
"EQX","EQUATORIAL RESOURCES LIMITED","1987-05-14","Materials",23299890
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","1980-11-19","Energy",793647388
"ERD","EROAD LIMITED","2020-09-18","Technology Hardware & Equipment",93068146
"ERG","ENECO REFRESH LTD","2006-03-29","Food, Beverage & Tobacco",5719525
"ERL","EMPIRE RESOURCES LIMITED","2007-02-01","Materials",7790544
"ERM","EMMERSON RESOURCES LIMITED","2007-12-17","Materials",41942654
"ERW","ERRAWARRA RESOURCES LTD","2020-12-14","Materials",13915920
"ESK","ETHERSTACK PLC","2012-09-07","Software & Services",57534181
"ESR","ESTRELLA RESOURCES LIMITED","2012-05-09","Materials",20770006
"ESS","ESSENTIAL METALS LIMITED","2003-12-04","Materials",86796676
"ETM","ENERGY TRANSITION MINERALS LTD","2006-06-20","Materials",78633153
"ETR","ENTYR LIMITED","2006-11-02","Commercial & Professional Services",20586599
"EUR","EUROPEAN LITHIUM LIMITED","2010-12-02","Materials",110142177
"EV1","EVOLUTION ENERGY MINERALS LIMITED","2021-11-16","Materials",47587500
"EVE","EVE HEALTH GROUP LIMITED.","2004-04-08","Diversified Financials",5274483
"EVG","EVION GROUP NL","2018-01-19","Materials",20982138
"EVN","EVOLUTION MINING LIMITED","2002-08-20","Materials",5541749283
"EVO","EMBARK EDUCATION LIMITED","2014-12-05","Consumer Services",86954469
"EVR","EV RESOURCES LTD","1994-12-07","Materials",13005777
"EVS","ENVIROSUITE LIMITED","2008-02-11","Software & Services",182643704
"EVT","EVT LIMITED","1962-06-30","Media & Entertainment",2137592144
"EVZ","EVZ LIMITED","1985-04-26","Capital Goods",20505726
"EWC","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities",127798600
"EWCN","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities",127798600
"EX1","EXOPHARM LIMITED","2018-12-18","Pharmaceuticals, Biotechnology & Life Sciences",10690384
"EXL","ELIXINOL WELLNESS LIMITED","2018-01-08","Household & Personal Products",6641577
"EXP","EXPERIENCE CO LIMITED","2015-03-27","Consumer Services",169650769
"EXR","ELIXIR ENERGY LIMITED","2004-07-19","Energy",145989970
"EYE","NOVA EYE MEDICAL LIMITED","1987-10-12","Health Care Equipment & Services",46682704
"EZL","EUROZ HARTLEYS GROUP LIMITED","1971-08-02","Diversified Financials",179623873
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","2021-03-03","Retailing",17104000
"FAL","FALCON METALS LTD","2021-12-22","Materials",46905000
"FAR","FAR LIMITED","1986-01-23","Energy",66750670
"FAU","FIRST AU LIMITED","1970-01-01","Materials",3807973
"FBR","FBR LTD","2001-02-08","Capital Goods",130253109
"FBU","FLETCHER BUILDING LIMITED","2001-03-26","Materials",3500514498
"FCL","FINEOS CORPORATION HOLDINGS PLC","2019-08-16","Software & Services",482878948
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","2011-05-11","Software & Services",91456579
"FDR","FINDER ENERGY HOLDINGS LIMITED","2022-04-08","Energy",14017500
"FDV","FRONTIER DIGITAL VENTURES LIMITED","2016-08-26","Media & Entertainment",257934779
"FEG","FAR EAST GOLD LTD","2022-03-28","Materials",113270273
"FEX","FENIX RESOURCES LTD","2008-08-04","Materials",143009910
"FFF","FORBIDDEN FOODS LIMITED","2020-08-31","Food, Beverage & Tobacco",3489855
"FFG","FATFISH GROUP LIMITED","1995-11-23","Diversified Financials",17614208
"FFI","FFI HOLDINGS LIMITED","1987-01-15","Food, Beverage & Tobacco",47345615
"FFT","FUTURE FIRST TECHNOLOGIES LTD","2013-12-02","Commercial & Professional Services",16993120
"FFX","FIREFINCH LIMITED","2006-12-06","Materials","N/A"
"FG1","FLYNN GOLD LIMITED","2021-06-17","Materials",10088741
"FGG","FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED","2015-09-10","Not Applic",446701196
"FGL","FRUGL GROUP LIMITED","2004-08-10","Software & Services",2383646
"FGR","FIRST GRAPHENE LIMITED","1994-08-08","Materials",66851385
"FGX","FUTURE GENERATION INVESTMENT COMPANY LIMITED","1997-03-06","Not Applic",469861657
"FHE","FRONTIER ENERGY LIMITED","2009-12-18","Materials",127227883
"FHS","FREEHILL MINING LIMITED.","2017-01-16","Materials",11561093
"FID","FIDUCIAN GROUP LIMITED","2015-02-09","Diversified Financials",215306941
"FIJ","FIJI KAVA LIMITED","2018-12-20","Household & Personal Products",5713088
"FIN","FIN RESOURCES LIMITED","1989-11-02","Materials",10630116
"FLC","FLUENCE CORPORATION LIMITED","2007-12-18","Capital Goods",113846956
"FLN","FREELANCER LIMITED","2013-11-15","Commercial & Professional Services",113082909
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","1995-12-01","Consumer Services",2936266867
"FLX","FELIX GROUP HOLDINGS LTD","2021-01-12","Software & Services",21940760
"FME","FUTURE METALS NL","2007-08-16","Energy",40150996
"FMG","FORTESCUE METALS GROUP LTD","1987-03-19","Materials",63734573803
"FML","FOCUS MINERALS LTD","2000-09-13","Materials",51580556
"FMS","FLINDERS MINES LIMITED","2002-02-20","Materials",64162459
"FND","FINDI LIMITED","2001-08-08","Software & Services",19032581
"FNX","FINEXIA FINANCIAL GROUP LIMITED","2006-12-21","Diversified Financials",10699093
"FOD","THE FOOD REVOLUTION GROUP LIMITED","2012-06-29","Food, Beverage & Tobacco",30296374
"FOR","FORAGER AUSTRALIAN SHARES FUND","2016-12-16","Not Applic",151846234
"FOS","FOS CAPITAL LTD","2021-06-07","Capital Goods",10223166
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","2017-03-22","Not Applic",30426948
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","2001-11-21","Health Care Equipment & Services",12107792285
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","2017-10-10","Not Applic",18108776
"FRB","FIREBIRD METALS LIMITED","2021-03-18","Materials",12057375
"FRE","FIREBRICK PHARMA LIMITED","2022-01-28","Pharmaceuticals, Biotechnology & Life Sciences",36378904
"FRI","FINBAR GROUP LIMITED","1994-08-05","Real Estate",182322505
"FRM","FARM PRIDE FOODS LIMITED","1997-12-19","Food, Beverage & Tobacco",6897522
"FRS","FORRESTANIA RESOURCES LIMITED","2021-09-30","Materials",9678032
"FRX","FLEXIROAM LIMITED","2015-06-16","Telecommunication Services",21825051
"FSA","FSA GROUP LIMITED","2001-01-11","Diversified Financials",129065349
"FSF","FONTERRA SHAREHOLDERS' FUND","2012-11-30","Food, Beverage & Tobacco",331992644
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","2005-04-26","Telecommunication Services",75610419
"FSI","FLAGSHIP INVESTMENTS LIMITED","2000-12-20","Not Applic",48870227
"FTC","FINTECH CHAIN LIMITED","2012-11-27","Software & Services",14967701
"FTL","FIRETAIL RESOURCES LIMITED","2022-04-13","Materials",11550000
"FTZ","FERTOZ LIMITED","2013-09-02","Materials",50115290
"FWD","FLEETWOOD LIMITED","1987-04-15","Consumer Durables & Apparel",137184062
"FXG","FELIX GOLD LIMITED","2022-01-31","Materials",18884262
"FYI","FYI RESOURCES LIMITED","1994-01-20","Materials",51284462
"FZO","FAMILY ZONE CYBER SAFETY LIMITED","2016-08-29","Software & Services",261602620
"FZR","FITZROY RIVER CORPORATION LTD","1998-03-04","Energy",18352223
"G1A","GALENA MINING LIMITED","2017-09-07","Materials",150414161
"G50","GOLD 50 LIMITED","2021-08-06","Materials",24231250
"G6M","GROUP 6 METALS LIMITED","1967-09-21","Materials",122682051
"G88","GOLDEN MILE RESOURCES LTD","2017-06-19","Materials",4910154
"GAL","GALILEO MINING LTD","2018-05-29","Materials",175886185
"GAP","GALE PACIFIC LIMITED","2000-12-14","Consumer Durables & Apparel",78772017
"GAS","STATE GAS LIMITED","2017-10-10","Energy",51711430
"GBE","GLOBE METALS & MINING LIMITED","2005-12-09","Materials",32433196
"GBR","GREAT BOULDER RESOURCES LIMITED","2016-11-18","Materials",40940636
"GBZ","GBM RESOURCES LIMITED","2007-10-24","Materials",24761685
"GC1","GLENNON SMALL COMPANIES LIMITED","2015-08-21","Not Applic",31507837
"GCI","GRYPHON CAPITAL INCOME TRUST","2018-05-25","Not Applic",481460608
"GCM","GREEN CRITICAL MINERALS LIMITED","2007-11-15","Materials",17486615
"GCR","GOLDEN CROSS RESOURCES LTD","1996-03-27","Materials",6583537
"GCX","GCX METALS LIMITED","2012-12-20","Energy",7245369
"GCY","GASCOYNE RESOURCES LIMITED","2009-12-11","Materials","N/A"
"GDA","GOOD DRINKS AUSTRALIA LTD","2006-12-13","Food, Beverage & Tobacco",84703295
"GDC","GLOBAL DATA CENTRE GROUP","2019-10-31","Not Applic",88863720
"GDF","GARDA PROPERTY GROUP","2015-07-02","Real Estate",308458109
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","2007-12-11","Insurance",235954341
"GDI","GDI PROPERTY GROUP","2013-12-17","Real Estate",398694272
"GED","GOLDEN DEEPS LIMITED.","1986-12-04","Materials",11552267
"GEM","G8 EDUCATION LIMITED","2007-12-05","Consumer Services",961788008
"GEN","GENMIN LIMITED","2021-03-10","Materials",90026647
"GES","GENESIS RESOURCES LIMITED","2009-10-27","Materials",6262730
"GFL","GLOBAL MASTERS FUND LIMITED","2006-05-16","Not Applic",24234339
"GFN","GEFEN INTERNATIONAL A.I. LTD","2021-07-21","Retailing",6413993
"GGE","GRAND GULF ENERGY LIMITED","1998-03-20","Energy",26292381
"GGX","GAS2GRID LIMITED","2005-05-13","Energy",8178204
"GHY","GOLD HYDROGEN LIMITED",,"Class Pend",0
"GIB","GIBB RIVER DIAMONDS LIMITED","2008-07-01","Materials",12690567
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","2021-05-06","Materials",467758429
"GLA","GLADIATOR RESOURCES LIMITED","2006-06-27","Materials",8012549
"GLB","GLOBE INTERNATIONAL LIMITED","2001-05-24","Consumer Durables & Apparel",116513329
"GLE","GLG CORP LTD","2005-12-14","Consumer Durables & Apparel",37976250
"GLH","GLOBAL HEALTH LIMITED","2000-04-04","Health Care Equipment & Services",12180710
"GLL","GALILEE ENERGY LIMITED","1996-02-15","Energy",89712437
"GLN","GALAN LITHIUM LIMITED","2011-06-08","Materials",313143040
"GLV","GLOBAL OIL & GAS LIMITED","2005-05-25","Energy",4017407
"GMD","GENESIS MINERALS LIMITED","2007-08-02","Materials",535479120
"GME","GME RESOURCES LIMITED","1980-08-21","Materials",56540553
"GMG","GOODMAN GROUP","2005-02-02","Real Estate",33340716930
"GML","GATEWAY MINING LIMITED","1971-08-02","Materials",14238691
"GMN","GOLD MOUNTAIN LIMITED","2011-09-02","Materials",14203343
"GMR","GOLDEN RIM RESOURCES LTD","1987-08-13","Materials",11379361
"GNC","GRAINCORP LIMITED","1998-03-30","Food & Staples Retailing",1726583018
"GNE","GENESIS ENERGY LIMITED","2014-04-17","Utilities",2622238597
"GNG","GR ENGINEERING SERVICES LIMITED","2011-04-19","Materials",311824796
"GNM","GREAT NORTHERN MINERALS LIMITED","2008-03-05","Materials",6836204
"GNP","GENUSPLUS GROUP LTD","2020-12-14","Capital Goods",177724948
"GNX","GENEX POWER LIMITED","2015-07-08","Utilities",228554228
"GO2","THE GO2 PEOPLE LTD","2017-10-31","Commercial & Professional Services",3768531
"GOR","GOLD ROAD RESOURCES LIMITED","2006-07-04","Materials",1850603553
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials",148204928
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate",2374469980
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials",20834544
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate","N/A"
"GPT","GPT GROUP","1971-04-01","Real Estate",8313606046
"GQG","GQG PARTNERS INC.","2021-10-26","Diversified Financials",4104399553
"GRE","GREENTECH METALS LIMITED","2022-01-04","Materials",7280000
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials",9469556
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials",1006884667
"GRV","GREENVALE ENERGY LTD","1971-07-28","Energy",59041109
"GRX","GREENX METALS LIMITED","1993-09-06","Materials",147099869
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials",5148625
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials",17409852
"GSR","GREENSTONE RESOURCES LIMITED","2000-12-12","Materials",27939053
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences",129065396
"GT1","GREEN TECHNOLOGY METALS LIMITED","2021-11-10","Materials",198047197
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials",9979646
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences",27701895
"GTI","GRATIFII LIMITED","2008-07-17","Software & Services",17130001
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services",250033276
"GTM","GREENTECH MINERALS LTD",,"Semiconductors & Semiconductor Equipment",0
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment",85408084
"GTR","GTI ENERGY LTD","2007-08-10","Materials",16560319
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components",1125748621
"GUL","GULLEWA LIMITED","1980-06-19","Materials",11917759
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic",196305722
"GW1","GREENWING RESOURCES LTD","2005-10-20","Materials",35347391
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods",556930737
"GWR","GWR GROUP LIMITED","2004-12-24","Materials",19915433
"H2G","GREENHY2 LIMITED","1980-12-04","Commercial & Professional Services",15493966
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","2022-04-26","Diversified Financials",23311013
"HAR","HARANGA RESOURCES LIMITED.","2022-01-27","Materials",6312630
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials",458566628
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials",98158155
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials",40021874
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy",8512377
"HCF","H&G HIGH CONVICTION LIMITED","2022-10-25","Not Applic",21396749
"HCH","HOT CHILI LIMITED","2010-05-03","Materials",98542295
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products",7806402
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","2021-09-06","Real Estate",547133182
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate",2713099231
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy",197907758
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials",232225675
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services",18357043
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks",1214916091
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate",17807981
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials",63411609
"HGV","HYGROVEST LIMITED","2015-01-22","Not Applic",16096779
"HHI","HEALTH HOUSE INTERNATIONAL LIMITED","2011-07-28","Health Care Equipment & Services","N/A"
"HHR","HARTSHEAD RESOURCES NL","2012-02-14","Energy",89414603
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment",12063247
"HIO","HAWSONS IRON LTD","2007-11-14","Materials",65891342
"HIQ","HITIQ LIMITED","2021-06-16","Health Care Equipment & Services",6647379
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services",84730750
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services",153155124
"HLF","HALO FOOD CO. LIMITED",,,10820783
"HLI","HELIA GROUP LIMITED","2014-05-20","Banks",996005338
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services",213938426
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services",1782898171
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials",17423594
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic",553677563
"HMC","HMC CAPITAL LIMITED","2019-10-14","Real Estate",1320411667
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services",31545416
"HMG","HAMELIN GOLD LIMITED","2021-11-05","Materials",15950000
"HMI","HIREMII LIMITED","2021-05-11","Commercial & Professional Services",5837783
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials",54212885
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials",41637791
"HNG","HANCOCK & GORE LTD","1971-08-24","Capital Goods",70989132
"HNR","HANNANS LTD","2003-12-05","Materials",64070004
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials",13246629
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","2021-12-14","Household & Personal Products",14737977
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment",125929045
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate",705298792
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco",8965914
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy",12537384
"HRE","HEAVY RARE EARTHS LIMITED","2022-08-24","Class Pend",7851642
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials",37554492
"HRO","HIRO BRANDS LIMITED","2016-01-14","Consumer Services","N/A"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials",37993619
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services",20057754
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services",1052610130
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment",302889207
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing",5071023
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services",814350515
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment",48296594
"HTM","HIGH-TECH METALS LTD",,"Materials",0
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials",2081512628
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials",292730149
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco",15302127
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing",5158467548
"HVY","HEAVY MINERALS LIMITED","2021-09-14","Materials",5926092
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials",8719570
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences",3841911
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment",13982037
"HYT","HYTERRA LTD","2005-12-14","Energy",0
"HZN","HORIZON OIL LIMITED","1981-06-30","Energy",204183978
"HZR","HAZER GROUP LIMITED","2015-12-02","Materials",103970683
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","2000-08-08","Insurance",11735064354
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","1987-01-14","Diversified Financials",39202915
"IBC","IRONBARK CAPITAL LIMITED","1987-04-02","Not Applic",53416151
"IBG","IRONBARK ZINC LTD","2006-08-16","Materials",14667843
"IBX","IMAGION BIOSYSTEMS LIMITED","2017-06-22","Health Care Equipment & Services",28032963
"ICE","ICETANA LIMITED","2019-12-23","Software & Services",6179181
"ICG","INCA MINERALS LIMITED","2008-06-19","Materials",10128811
"ICI","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",68412898
"ICIN","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",68412898
"ICL","ICENI GOLD LIMITED","2021-04-14","Materials",19605714
"ICN","ICON ENERGY LIMITED","1997-09-22","Energy",3840068
"ICR","INTELICARE HOLDINGS LIMITED","2020-05-25","Health Care Equipment & Services",2766274
"ICS","ICSGLOBAL LIMITED","1999-12-23","Health Care Equipment & Services","N/A"
"ID8","IDENTITII LIMITED","2018-10-17","Software & Services",7069371
"ID8N","IDENTITII LIMITED","2018-10-17","Software & Services",7069371
"IDA","INDIANA RESOURCES LIMITED","1986-07-17","Materials",27861875
"IDT","IDT AUSTRALIA LIMITED","1991-02-18","Pharmaceuticals, Biotechnology & Life Sciences",19040722
"IDX","INTEGRAL DIAGNOSTICS LIMITED","2015-10-21","Health Care Equipment & Services",701205239
"IEC","INTRA ENERGY CORPORATION LIMITED","2007-07-04","Energy",4240471
"IEL","IDP EDUCATION LIMITED","2015-11-26","Consumer Services",7629195544
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","1993-03-11","Real Estate",4487825
"IFL","INSIGNIA FINANCIAL LTD","2003-12-05","Diversified Financials",2225455196
"IFM","INFOMEDIA LTD","2000-08-16","Software & Services",454702270
"IFT","INFRATIL LIMITED.","2010-08-30","Utilities",5728877563
"IG6","INTERNATIONAL GRAPHITE LIMITED","2022-04-07","Capital Goods",39637999
"IGL","IVE GROUP LIMITED","2015-12-16","Media & Entertainment",358946626
"IGN","IGNITE LIMITED","1997-01-16","Commercial & Professional Services",6449917
"IGO","IGO LIMITED","2002-01-17","Materials",10541167957
"IHL","INCANNEX HEALTHCARE LIMITED","2007-05-23","Pharmaceuticals, Biotechnology & Life Sciences",269791761
"IHR","INTELLIHR LIMITED","2018-01-23","Software & Services",18699511
"IIQ","INOVIQ LTD","1991-04-18","Health Care Equipment & Services",60732343
"IKE","IKEGPS GROUP LIMITED","2016-11-21","Technology Hardware & Equipment",134174666
"IKW","IKWEZI MINING LIMITED","2011-07-19","Energy",18698988
"ILA","ISLAND PHARMACEUTICALS LIMITED","2021-04-13","Pharmaceuticals, Biotechnology & Life Sciences",15441009
"ILU","ILUKA RESOURCES LIMITED","1962-06-30","Materials",4151587115
"IMA","IMAGE RESOURCES NL","2002-07-04","Materials",151787106
"IMB","INTELLIGENT MONITORING GROUP LIMITED","1994-03-03","Commercial & Professional Services",20912047
"IMC","IMMURON LIMITED","1999-04-30","Pharmaceuticals, Biotechnology & Life Sciences",16401481
"IMD","IMDEX LIMITED","1987-09-24","Materials",903529274
"IME","IMEXHS LIMITED","2005-12-14","Health Care Equipment & Services",18978634
"IMI","INFINITY MINING LIMITED","2021-12-22","Materials",28042998
"IMM","IMMUTEP LIMITED","1988-06-23","Pharmaceuticals, Biotechnology & Life Sciences",250599253
"IMR","IMRICOR MEDICAL SYSTEMS INC.","2019-08-30","Health Care Equipment & Services",56755359
"IMS","IMPELUS LIMITED","2000-05-11","Media & Entertainment","N/A"
"IMU","IMUGENE LIMITED","1993-11-24","Pharmaceuticals, Biotechnology & Life Sciences",963257356
"INA","INGENIA COMMUNITIES GROUP","2004-07-01","Real Estate",1821897190
"IND","INDUSTRIAL MINERALS LTD","2021-07-13","Materials",21590000
"INF","INFINITY LITHIUM CORPORATION LIMITED","2011-04-15","Materials",50885130
"ING","INGHAMS GROUP LIMITED","2016-11-07","Food, Beverage & Tobacco",1036986087
"INL","INNLANZ LIMITED","2019-02-22","Retailing",13157072
"INP","INCENTIAPAY LIMITED","2014-09-09","Retailing",8855445
"INR","IONEER LTD","2007-12-19","Materials",860318689
"INV","INVESTSMART GROUP LIMITED","2005-04-21","Diversified Financials",44011548
"IOD","IODM LIMITED","2003-11-18","Software & Services",233116743
"IOU","IOUPAY LIMITED","2000-10-12","Media & Entertainment",26324672
"IPB","IPB PETROLEUM LIMITED","2013-04-30","Energy",3650959
"IPC","IMPERIAL PACIFIC LIMITED","1971-07-28","Diversified Financials",7520866
"IPD","IMPEDIMED LIMITED","2007-10-24","Health Care Equipment & Services",135544986
"IPG","IPD GROUP LTD","2021-12-17","Capital Goods",259097394
"IPH","IPH LIMITED","2014-11-19","Commercial & Professional Services",1994950451
"IPL","INCITEC PIVOT LIMITED","2003-07-28","Materials",7496988612
"IPT","IMPACT MINERALS LIMITED","2006-11-29","Materials",17369594
"IPX","IPERIONX LIMITED","2018-04-16","Materials",115577207
"IR1","IRIS METALS LIMITED","2021-09-23","Materials",114932800
"IRD","IRON ROAD LIMITED","2008-06-12","Materials",103981970
"IRE","IRESS LIMITED","2000-11-03","Software & Services",1771991750
"IRI","INTEGRATED RESEARCH LIMITED","2000-12-13","Software & Services",77831339
"IRX","INHALERX LIMITED","2017-01-11","Health Care Equipment & Services",11236017
"IS3","I SYNERGY GROUP LIMITED","2017-03-30","Software & Services",8415268
"ISU","ISELECT LIMITED.","2013-06-24","Consumer Services","N/A"
"ITM","ITECH MINERALS LTD","2021-10-21","Materials",32352144
"IVC","INVOCARE LIMITED","2003-12-04","Consumer Services",1596192922
"IVO","INVIGOR GROUP LIMITED","1999-12-03","Media & Entertainment","N/A"
"IVR","INVESTIGATOR RESOURCES LTD","2007-04-03","Materials",54823710
"IVT","INVENTIS LIMITED","1999-04-14","Commercial & Professional Services",4895531
"IVX","INVION LIMITED","2010-02-15","Pharmaceuticals, Biotechnology & Life Sciences",57780829
"IVZ","INVICTUS ENERGY LTD","2012-01-19","Energy",275286143
"IXC","INVEX THERAPEUTICS LTD","2019-07-05","Pharmaceuticals, Biotechnology & Life Sciences",40958847
"IXR","IONIC RARE EARTHS LIMITED","1999-12-10","Materials",126163357
"IXU","IXUP LIMITED","2017-11-15","Software & Services",30887159
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Materials",37976577
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Software & Services",141924293
"JAT","JATCORP LIMITED","2008-01-30","Retailing",27477470
"JAV","JAVELIN MINERALS LIMITED","2012-10-09","Materials",9454153
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing",33102226
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing",4653254231
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Software & Services",16088829
"JDO","JUDO CAPITAL HOLDINGS LIMITED","2021-11-01","Banks",1459286231
"JGH","JADE GAS HOLDINGS LIMITED","1995-02-13","Materials",71267570
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials",6673434956
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials",11841987789
